amount,date,description,notes
5.25,2025-11-01,Starbucks coffee,Morning cold brew
42.78,2025-11-01,Loblaws groceries,Produce and snacks
18.90,2025-11-01,Uber ride,To campus
9.99,2025-11-01,Spotify subscription,Monthly premium
12.49,2025-11-02,App Store iCloud,200GB storage
86.40,2025-11-02,No Frills groceries,Weekly haul
1150.00,2025-11-03,Rent,November rent payment
28.00,2025-11-03,Phone bill,Data plan
33.40,2025-11-04,Gas station,Quarter tank
15.35,2025-11-04,Chipotle,Chicken bowl
INVALID,2025-11-04,Bad amount row,Should trigger parse error
12.99,2025-11-04,Netflix subscription,Monthly
22.60,,Ramen bar,Missing date error
58.10,2025-11-05,Walmart essentials,Cleaning supplies
7.20,2025-11-05,Public transit,2x bus fares
,2025-11-05,Missing amount,Should fail validation
29.99,2025-11-05,Amazon order,Phone case + cable
94.60,2025-11-06,Loblaws groceries,Weekly haul
20.45,2025-11-06,Ramen bar,Lunch special
40.10,2025-11-07,Gas station,Top-up
27.50,2025-11-07,Rogers Internet,Monthly bill

